2025-04-26 14:41:25.495 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 2/3] Worker 3 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF677E500>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: did you hear about the injuries she sustained . | Trigger: ['injuries']
2025-04-26 14:41:25.533 | ERROR    | extractor.consumer:worker:171 - [FAIL] Worker 2 cannot extract event list after 3 attempts. | Text: his last hope for survival might be that the united states loses its taste for such losses and forces president bush to negotiate a compromise that would allow hussein and his family to keep power in baghdad . | Trigger: ['losses']
2025-04-26 14:41:25.534 | ERROR    | extractor.consumer:worker:171 - [FAIL] Worker 0 cannot extract event list after 3 attempts. | Text: the interim government didn't hesitate to torture opponents , just like saddam did . | Trigger: ['torture', 'did']
2025-04-26 14:41:25.536 | ERROR    | extractor.consumer:worker:171 - [FAIL] Worker 1 cannot extract event list after 3 attempts. | Text: iraq does not report on its military casualties , but iraqi officials say 420 civilians have been killed and about 4 , 000 injured . | Trigger: ['casualties', 'killed', 'injured']
2025-04-26 14:41:25.539 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 1/3] Worker 4 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF6CD5030>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: by going into their territory and building these walls or building settlements-- pushing the palestinians out and-- palestinians-- fight-- with rocks and-- sticks and-- israelis have their machine guns and bulldozers and-- i just-- t-really unpalatable that the-- whole idea , the-- the way they're going about-- this thing and-- i don't really feel qualified-- to say how it should be , but-- i-- see it-- being wrong to-- hurt children and-- innocent people . | Trigger: ['fight', 'going', 'hurt']
2025-04-26 14:41:25.543 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 1/3] Worker 3 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF6CD50C0>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: a bomb exploded today in a courtroom in southern yemen , injuring four people , one of them a judge . | Trigger: ['exploded', 'injuring']
2025-04-26 14:41:25.546 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 1/3] Worker 2 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF6CD6710>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: he looked for the gunshot wounds for the knife stabbing , and there is no injury whatsoever . | Trigger: ['wounds', 'stabbing', 'injury']
2025-04-26 14:41:25.551 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 1/3] Worker 0 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF68DCA90>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: his last hope for survival might be that the united states loses its taste for such losses and forces president bush to negotiate a compromise that would allow hussein and his family to keep power in baghdad . | Trigger: ['losses']
2025-04-26 14:41:25.555 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 1/3] Worker 1 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF6CD4640>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: darius'intent was to dismember , injure or even kill ferguson . | Trigger: ['injure', 'dismember', 'kill']
2025-04-26 14:41:25.558 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 2/3] Worker 4 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF581CDF0>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: by going into their territory and building these walls or building settlements-- pushing the palestinians out and-- palestinians-- fight-- with rocks and-- sticks and-- israelis have their machine guns and bulldozers and-- i just-- t-really unpalatable that the-- whole idea , the-- the way they're going about-- this thing and-- i don't really feel qualified-- to say how it should be , but-- i-- see it-- being wrong to-- hurt children and-- innocent people . | Trigger: ['fight', 'going', 'hurt']
2025-04-26 14:41:25.561 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 2/3] Worker 3 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF5AFF040>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: a bomb exploded today in a courtroom in southern yemen , injuring four people , one of them a judge . | Trigger: ['exploded', 'injuring']
2025-04-26 14:41:25.565 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 2/3] Worker 2 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF5DF2DD0>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: he looked for the gunshot wounds for the knife stabbing , and there is no injury whatsoever . | Trigger: ['wounds', 'stabbing', 'injury']
2025-04-26 14:41:25.569 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 2/3] Worker 0 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF5C48FA0>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: his last hope for survival might be that the united states loses its taste for such losses and forces president bush to negotiate a compromise that would allow hussein and his family to keep power in baghdad . | Trigger: ['losses']
2025-04-26 14:41:25.572 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 2/3] Worker 1 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF6107A60>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: darius'intent was to dismember , injure or even kill ferguson . | Trigger: ['injure', 'dismember', 'kill']
2025-04-26 14:41:25.576 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 3/3] Worker 4 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF6106020>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: by going into their territory and building these walls or building settlements-- pushing the palestinians out and-- palestinians-- fight-- with rocks and-- sticks and-- israelis have their machine guns and bulldozers and-- i just-- t-really unpalatable that the-- whole idea , the-- the way they're going about-- this thing and-- i don't really feel qualified-- to say how it should be , but-- i-- see it-- being wrong to-- hurt children and-- innocent people . | Trigger: ['fight', 'going', 'hurt']
2025-04-26 14:41:25.579 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 3/3] Worker 3 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF6105930>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: a bomb exploded today in a courtroom in southern yemen , injuring four people , one of them a judge . | Trigger: ['exploded', 'injuring']
2025-04-26 14:41:25.583 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 3/3] Worker 2 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF61056C0>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: he looked for the gunshot wounds for the knife stabbing , and there is no injury whatsoever . | Trigger: ['wounds', 'stabbing', 'injury']
2025-04-26 14:41:25.587 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 3/3] Worker 0 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF52E37F0>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: his last hope for survival might be that the united states loses its taste for such losses and forces president bush to negotiate a compromise that would allow hussein and his family to keep power in baghdad . | Trigger: ['losses']
2025-04-26 14:41:25.590 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 3/3] Worker 1 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF5AED2A0>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: darius'intent was to dismember , injure or even kill ferguson . | Trigger: ['injure', 'dismember', 'kill']
2025-04-26 14:41:25.591 | ERROR    | extractor.consumer:worker:171 - [FAIL] Worker 4 cannot extract event list after 3 attempts. | Text: by going into their territory and building these walls or building settlements-- pushing the palestinians out and-- palestinians-- fight-- with rocks and-- sticks and-- israelis have their machine guns and bulldozers and-- i just-- t-really unpalatable that the-- whole idea , the-- the way they're going about-- this thing and-- i don't really feel qualified-- to say how it should be , but-- i-- see it-- being wrong to-- hurt children and-- innocent people . | Trigger: ['fight', 'going', 'hurt']
2025-04-26 14:41:25.592 | ERROR    | extractor.consumer:worker:171 - [FAIL] Worker 3 cannot extract event list after 3 attempts. | Text: a bomb exploded today in a courtroom in southern yemen , injuring four people , one of them a judge . | Trigger: ['exploded', 'injuring']
2025-04-26 14:41:25.594 | ERROR    | extractor.consumer:worker:171 - [FAIL] Worker 2 cannot extract event list after 3 attempts. | Text: he looked for the gunshot wounds for the knife stabbing , and there is no injury whatsoever . | Trigger: ['wounds', 'stabbing', 'injury']
2025-04-26 14:41:25.595 | ERROR    | extractor.consumer:worker:171 - [FAIL] Worker 0 cannot extract event list after 3 attempts. | Text: his last hope for survival might be that the united states loses its taste for such losses and forces president bush to negotiate a compromise that would allow hussein and his family to keep power in baghdad . | Trigger: ['losses']
2025-04-26 14:41:25.596 | ERROR    | extractor.consumer:worker:171 - [FAIL] Worker 1 cannot extract event list after 3 attempts. | Text: darius'intent was to dismember , injure or even kill ferguson . | Trigger: ['injure', 'dismember', 'kill']
2025-04-26 14:41:25.603 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 1/3] Worker 4 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF68C6560>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: a suicide bomber detonated explosives at the entrance to a crowded mall in northern israel on monday , killing at least four shoppers and wounding 20 in the fifth such attack in two days . | Trigger: ['suicide', 'detonated', 'killing', 'wounding', 'attack']
2025-04-26 14:41:25.606 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 1/3] Worker 3 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF67DD300>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: it was not known whether he was hurt at the time . | Trigger: ['hurt']
2025-04-26 14:41:25.609 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 1/3] Worker 2 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF5A8E680>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: injured russian diplomats and a convoy of america's kurdish comrades in arms were among unintended victims caught in crossfire and friendly fire sunday . | Trigger: ['injured', 'crossfire']
2025-04-26 14:41:25.613 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 1/3] Worker 0 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF6105DB0>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: injured russian diplomats and a convoy of america's kurdish comrades in arms were among unintended victims caught in crossfire and friendly fire sunday . | Trigger: ['injured', 'crossfire']
2025-04-26 14:41:25.617 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 1/3] Worker 1 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF67DE170>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: an explosion in a cafe at one of the capital's busiest intersections killed one woman and injured another tuesday , police said . | Trigger: ['explosion', 'killed', 'injured']
2025-04-26 14:41:25.620 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 2/3] Worker 4 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF67DF040>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: a suicide bomber detonated explosives at the entrance to a crowded mall in northern israel on monday , killing at least four shoppers and wounding 20 in the fifth such attack in two days . | Trigger: ['suicide', 'detonated', 'killing', 'wounding', 'attack']
2025-04-26 14:41:25.626 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 2/3] Worker 3 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF67DF7F0>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: it was not known whether he was hurt at the time . | Trigger: ['hurt']
2025-04-26 14:41:25.629 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 2/3] Worker 2 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF502BE20>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: injured russian diplomats and a convoy of america's kurdish comrades in arms were among unintended victims caught in crossfire and friendly fire sunday . | Trigger: ['injured', 'crossfire']
2025-04-26 14:41:25.632 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 2/3] Worker 0 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF5C4A890>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: injured russian diplomats and a convoy of america's kurdish comrades in arms were among unintended victims caught in crossfire and friendly fire sunday . | Trigger: ['injured', 'crossfire']
2025-04-26 14:41:25.636 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 2/3] Worker 1 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF6106950>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: an explosion in a cafe at one of the capital's busiest intersections killed one woman and injured another tuesday , police said . | Trigger: ['explosion', 'killed', 'injured']
2025-04-26 14:41:25.639 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 3/3] Worker 4 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF6105E40>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: a suicide bomber detonated explosives at the entrance to a crowded mall in northern israel on monday , killing at least four shoppers and wounding 20 in the fifth such attack in two days . | Trigger: ['suicide', 'detonated', 'killing', 'wounding', 'attack']
2025-04-26 14:41:25.642 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 3/3] Worker 3 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF6106C20>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: it was not known whether he was hurt at the time . | Trigger: ['hurt']
2025-04-26 14:41:25.645 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 3/3] Worker 2 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF61044C0>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: injured russian diplomats and a convoy of america's kurdish comrades in arms were among unintended victims caught in crossfire and friendly fire sunday . | Trigger: ['injured', 'crossfire']
2025-04-26 14:41:25.648 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 3/3] Worker 0 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF5DF2B90>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: injured russian diplomats and a convoy of america's kurdish comrades in arms were among unintended victims caught in crossfire and friendly fire sunday . | Trigger: ['injured', 'crossfire']
2025-04-26 14:41:25.651 | ERROR    | extractor.consumer:worker:167 - [ERROR at ATTEMPT 3/3] Worker 1 got error: HTTPSConnectionPool(host='generativelanguage.googleapis.com', port=443): Max retries exceeded with url: /v1beta/models/gemini-2.0-flash-lite:generateContent (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x000001FBF6CD6800>: Failed to resolve 'generativelanguage.googleapis.com' ([Errno 11001] getaddrinfo failed)")) | Text: an explosion in a cafe at one of the capital's busiest intersections killed one woman and injured another tuesday , police said . | Trigger: ['explosion', 'killed', 'injured']
2025-04-26 14:41:25.652 | ERROR    | extractor.consumer:worker:171 - [FAIL] Worker 4 cannot extract event list after 3 attempts. | Text: a suicide bomber detonated explosives at the entrance to a crowded mall in northern israel on monday , killing at least four shoppers and wounding 20 in the fifth such attack in two days . | Trigger: ['suicide', 'detonated', 'killing', 'wounding', 'attack']
2025-04-26 14:41:25.653 | ERROR    | extractor.consumer:worker:171 - [FAIL] Worker 3 cannot extract event list after 3 attempts. | Text: it was not known whether he was hurt at the time . | Trigger: ['hurt']
2025-04-26 14:41:25.655 | ERROR    | extractor.consumer:worker:171 - [FAIL] Worker 2 cannot extract event list after 3 attempts. | Text: injured russian diplomats and a convoy of america's kurdish comrades in arms were among unintended victims caught in crossfire and friendly fire sunday . | Trigger: ['injured', 'crossfire']
2025-04-26 14:41:25.657 | ERROR    | extractor.consumer:worker:171 - [FAIL] Worker 0 cannot extract event list after 3 attempts. | Text: injured russian diplomats and a convoy of america's kurdish comrades in arms were among unintended victims caught in crossfire and friendly fire sunday . | Trigger: ['injured', 'crossfire']
2025-04-26 14:41:25.658 | ERROR    | extractor.consumer:worker:171 - [FAIL] Worker 1 cannot extract event list after 3 attempts. | Text: an explosion in a cafe at one of the capital's busiest intersections killed one woman and injured another tuesday , police said . | Trigger: ['explosion', 'killed', 'injured']
