2025-04-29 09:56:07.640 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (17, 17), (13, 13), (18, 18), (2, 2), (11, 11), (4, 4), (5, 5), (14, 14), (7, 7), (16, 16), (9, 9), (1, 1), (10, 10), (3, 3), (12, 12), (6, 6)} | Text: can owe tell us exactly the details , the precise details of how you arrested the suspect ?
2025-04-29 09:56:07.723 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (17, 17), (27, 27), (20, 20), (13, 13), (18, 18), (2, 2), (15, 15), (11, 11), (4, 4), (5, 5), (14, 14), (7, 7), (16, 16), (23, 23), (9, 9), (1, 1), (25, 25), (26, 26), (10, 10), (19, 19), (12, 12), (28, 28), (6, 6), (22, 22), (24, 24)} | Text: and the arrest of the prime suspect , derrick lee tee lee w . ` ` re joined on the phone by the police chief of atlanta .
2025-04-29 09:56:07.726 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (17, 17), (20, 20), (13, 13), (18, 18), (2, 2), (11, 11), (4, 4), (5, 5), (14, 14), (7, 7), (16, 16), (9, 9), (1, 1), (10, 10), (19, 19), (3, 3), (12, 12), (6, 6), (22, 22), (15, 15)} | Text: nicolae mischie , authoritarian leader of a district organization of the main opposition party , has been jailed .
2025-04-29 09:56:07.728 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (17, 17), (20, 20), (13, 13), (18, 18), (2, 2), (15, 15), (11, 11), (4, 4), (5, 5), (14, 14), (7, 7), (16, 16), (23, 23), (9, 9), (1, 1), (10, 10), (19, 19), (3, 3), (12, 12), (21, 21), (6, 6), (24, 24)} | Text: the drunk was acquitted on the technicality that he wasn't on a public road when the cop arrested him .
2025-04-29 09:56:07.730 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (17, 17), (13, 13), (18, 18), (2, 2), (11, 11), (4, 4), (5, 5), (7, 7), (16, 16), (9, 9), (1, 1), (10, 10), (3, 3), (12, 12), (6, 6), (15, 15)} | Text: across town in a less affluent neighborhood , reactions to aziz's arrest are profoundly different .
2025-04-29 09:56:07.731 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (5, 5), (14, 14), (7, 7), (9, 9), (1, 1), (13, 13), (3, 3), (12, 12), (2, 2), (6, 6), (11, 11), (15, 15)} | Text: most homosexuals arrested during the nazi era were imprisoned in normal jails .
2025-04-29 09:56:07.734 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(20, 20), (29, 29), (38, 38), (37, 37), (39, 39), (2, 2), (34, 34), (11, 11), (30, 30), (7, 7), (16, 16), (25, 25), (26, 26), (35, 35), (3, 3), (12, 12), (21, 21), (22, 22), (31, 31), (8, 8), (17, 17), (27, 27), (36, 36), (13, 13), (32, 32), (18, 18), (4, 4), (5, 5), (14, 14), (23, 23), (9, 9), (1, 1), (24, 24), (10, 10), (6, 6), (15, 15)} | Text: two of the indicted men are out on bond , but samiel aryan and other defendant are held without bond which is to say they will stay in jail until the trial starts in roughly 18 months .
2025-04-29 09:56:07.736 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(4, 4), (8, 8), (5, 5), (14, 14), (7, 7), (9, 9), (1, 1), (13, 13), (10, 10), (2, 2), (6, 6), (11, 11), (15, 15)} | Text: he was arrested in june after he he-- jumped trial on bail .
2025-04-29 09:56:07.746 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(84, 84), (61, 61), (43, 43), (20, 20), (38, 38), (80, 80), (2, 2), (57, 57), (75, 75), (34, 34), (11, 11), (76, 76), (16, 16), (71, 71), (25, 25), (58, 58), (35, 35), (12, 12), (67, 67), (77, 77), (31, 31), (49, 49), (8, 8), (68, 68), (63, 63), (45, 45), (32, 32), (64, 64), (82, 82), (59, 59), (41, 41), (51, 51), (5, 5), (23, 23), (78, 78), (65, 65), (24, 24), (19, 19), (6, 6), (79, 79), (56, 56), (33, 33), (15, 15), (70, 70), (29, 29), (39, 39), (66, 66), (48, 48), (30, 30), (7, 7), (62, 62), (72, 72), (44, 44), (26, 26), (81, 81), (3, 3), (21, 21), (40, 40), (22, 22), (17, 17), (27, 27), (36, 36), (54, 54), (13, 13), (18, 18), (73, 73), (55, 55), (50, 50), (60, 60), (4, 4), (14, 14), (69, 69), (9, 9), (46, 46), (1, 1), (10, 10), (28, 28), (83, 83), (37, 37), (47, 47), (42, 42)} | Text: and , again fairly specifically-lrb-and i realise this is state specific , but i'm kinda looking for a general answer here-rrb-: if an eighteen year old gets caught selling marijuana to 12-14 year olds , and gets put away for , say , three years , is this the sort of deal where he's likely to get parole , or just do the time and leave again ?
2025-04-29 09:56:07.749 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(20, 20), (29, 29), (33, 33), (37, 37), (2, 2), (34, 34), (11, 11), (30, 30), (7, 7), (16, 16), (25, 25), (26, 26), (35, 35), (3, 3), (12, 12), (21, 21), (22, 22), (31, 31), (8, 8), (17, 17), (27, 27), (13, 13), (32, 32), (18, 18), (4, 4), (5, 5), (14, 14), (23, 23), (9, 9), (1, 1), (24, 24), (10, 10), (28, 28), (6, 6), (15, 15)} | Text: estrada , who was ousted in a military-backed popular revolt in january 2001 , has been detained for almost two years at the veterans memorial medical center in metro manila on plunder charges .
2025-04-29 09:56:07.751 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(4, 4), (8, 8), (5, 5), (7, 7), (1, 1), (10, 10), (3, 3), (2, 2), (6, 6)} | Text: you just pass out numbers on whoever you arrest .
2025-04-29 09:56:07.753 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (17, 17), (13, 13), (18, 18), (2, 2), (11, 11), (4, 4), (5, 5), (7, 7), (16, 16), (9, 9), (1, 1), (10, 10), (3, 3), (12, 12), (6, 6), (15, 15)} | Text: across town in a less affluent neighborhood , reactions to aziz's arrest are profoundly different .
2025-04-29 09:56:07.759 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (17, 17), (13, 13), (18, 18), (2, 2), (11, 11), (4, 4), (5, 5), (7, 7), (16, 16), (9, 9), (1, 1), (10, 10), (3, 3), (12, 12), (6, 6), (15, 15)} | Text: across town in a less affluent neighborhood , reactions to aziz's arrest are profoundly different .
2025-04-29 09:56:07.760 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(4, 4), (8, 8), (5, 5), (7, 7), (9, 9), (1, 1), (11, 11), (13, 13), (10, 10), (3, 3), (2, 2), (6, 6), (15, 15)} | Text: ferris disappeared from sight , and cnn has confirmed he was taken into custody .
2025-04-29 09:56:07.761 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (17, 17), (20, 20), (13, 13), (18, 18), (2, 2), (11, 11), (4, 4), (5, 5), (14, 14), (16, 16), (9, 9), (1, 1), (10, 10), (19, 19), (3, 3), (12, 12), (6, 6), (15, 15)} | Text: a man with a pistol was arrested outside of the courthouse and police say he admits planning the bombs .
2025-04-29 09:56:07.767 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(84, 84), (61, 61), (43, 43), (20, 20), (38, 38), (80, 80), (2, 2), (57, 57), (75, 75), (34, 34), (11, 11), (76, 76), (16, 16), (71, 71), (25, 25), (58, 58), (35, 35), (12, 12), (67, 67), (77, 77), (31, 31), (49, 49), (8, 8), (68, 68), (63, 63), (45, 45), (32, 32), (64, 64), (82, 82), (59, 59), (41, 41), (51, 51), (5, 5), (23, 23), (78, 78), (65, 65), (24, 24), (19, 19), (6, 6), (79, 79), (56, 56), (33, 33), (15, 15), (70, 70), (29, 29), (39, 39), (66, 66), (48, 48), (30, 30), (7, 7), (62, 62), (72, 72), (44, 44), (26, 26), (81, 81), (3, 3), (21, 21), (40, 40), (22, 22), (17, 17), (27, 27), (36, 36), (54, 54), (13, 13), (18, 18), (73, 73), (55, 55), (50, 50), (60, 60), (4, 4), (14, 14), (69, 69), (9, 9), (46, 46), (1, 1), (10, 10), (28, 28), (83, 83), (37, 37), (47, 47), (42, 42)} | Text: and , again fairly specifically-lrb-and i realise this is state specific , but i'm kinda looking for a general answer here-rrb-: if an eighteen year old gets caught selling marijuana to 12-14 year olds , and gets put away for , say , three years , is this the sort of deal where he's likely to get parole , or just do the time and leave again ?
2025-04-29 09:56:07.773 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(20, 20), (29, 29), (38, 38), (37, 37), (2, 2), (34, 34), (11, 11), (30, 30), (7, 7), (16, 16), (25, 25), (26, 26), (35, 35), (3, 3), (12, 12), (22, 22), (31, 31), (8, 8), (17, 17), (27, 27), (36, 36), (13, 13), (32, 32), (18, 18), (4, 4), (5, 5), (14, 14), (23, 23), (9, 9), (1, 1), (24, 24), (10, 10), (19, 19), (28, 28), (15, 15)} | Text: for the most part the marches went off peacefully , but in new york a small group of protesters were arrested after they refused to go home at the end of their rally , police sources said .
2025-04-29 09:56:07.780 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(84, 84), (61, 61), (43, 43), (20, 20), (38, 38), (80, 80), (2, 2), (57, 57), (75, 75), (34, 34), (11, 11), (76, 76), (16, 16), (71, 71), (25, 25), (58, 58), (35, 35), (12, 12), (67, 67), (77, 77), (31, 31), (49, 49), (8, 8), (68, 68), (63, 63), (45, 45), (32, 32), (64, 64), (82, 82), (59, 59), (41, 41), (51, 51), (5, 5), (23, 23), (78, 78), (65, 65), (24, 24), (19, 19), (6, 6), (79, 79), (56, 56), (33, 33), (15, 15), (70, 70), (29, 29), (39, 39), (66, 66), (48, 48), (30, 30), (7, 7), (62, 62), (72, 72), (44, 44), (26, 26), (81, 81), (3, 3), (21, 21), (40, 40), (22, 22), (17, 17), (27, 27), (36, 36), (54, 54), (13, 13), (18, 18), (73, 73), (55, 55), (50, 50), (60, 60), (4, 4), (14, 14), (69, 69), (9, 9), (46, 46), (1, 1), (10, 10), (28, 28), (83, 83), (37, 37), (47, 47), (42, 42)} | Text: and , again fairly specifically-lrb-and i realise this is state specific , but i'm kinda looking for a general answer here-rrb-: if an eighteen year old gets caught selling marijuana to 12-14 year olds , and gets put away for , say , three years , is this the sort of deal where he's likely to get parole , or just do the time and leave again ?
2025-04-29 09:56:07.784 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(8, 8), (17, 17), (27, 27), (20, 20), (29, 29), (13, 13), (18, 18), (2, 2), (15, 15), (11, 11), (4, 4), (31, 31), (5, 5), (7, 7), (16, 16), (14, 14), (23, 23), (9, 9), (1, 1), (25, 25), (26, 26), (10, 10), (19, 19), (3, 3), (12, 12), (21, 21), (28, 28), (6, 6), (22, 22), (24, 24)} | Text: and i'm curious , how can democrats claim that president bush is ignoring the war on terror if al qaeda's second key operative was just caught ?
2025-04-29 09:56:07.785 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(4, 4), (8, 8), (5, 5), (7, 7), (9, 9), (1, 1), (13, 13), (10, 10), (3, 3), (2, 2), (6, 6), (11, 11)} | Text: they handcuffed the man and they took him into custody .
2025-04-29 09:56:07.795 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(84, 84), (61, 61), (43, 43), (20, 20), (38, 38), (80, 80), (2, 2), (57, 57), (75, 75), (34, 34), (11, 11), (76, 76), (16, 16), (71, 71), (25, 25), (58, 58), (35, 35), (12, 12), (67, 67), (77, 77), (31, 31), (49, 49), (8, 8), (68, 68), (63, 63), (45, 45), (32, 32), (64, 64), (82, 82), (59, 59), (41, 41), (51, 51), (5, 5), (23, 23), (78, 78), (65, 65), (24, 24), (19, 19), (6, 6), (79, 79), (56, 56), (33, 33), (15, 15), (70, 70), (29, 29), (39, 39), (66, 66), (48, 48), (30, 30), (7, 7), (62, 62), (72, 72), (44, 44), (26, 26), (81, 81), (3, 3), (21, 21), (40, 40), (22, 22), (17, 17), (27, 27), (36, 36), (54, 54), (13, 13), (18, 18), (73, 73), (55, 55), (50, 50), (60, 60), (4, 4), (14, 14), (69, 69), (9, 9), (46, 46), (1, 1), (10, 10), (28, 28), (83, 83), (37, 37), (47, 47), (42, 42)} | Text: and , again fairly specifically-lrb-and i realise this is state specific , but i'm kinda looking for a general answer here-rrb-: if an eighteen year old gets caught selling marijuana to 12-14 year olds , and gets put away for , say , three years , is this the sort of deal where he's likely to get parole , or just do the time and leave again ?
2025-04-29 09:56:07.798 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(17, 17), (13, 13), (18, 18), (2, 2), (11, 11), (4, 4), (5, 5), (14, 14), (7, 7), (16, 16), (9, 9), (1, 1), (10, 10), (19, 19), (3, 3), (12, 12), (6, 6)} | Text: some 3 , 000 people have been arrested since the disobedience campaigns began last week .
2025-04-29 09:56:07.799 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(4, 4), (8, 8), (7, 7), (9, 9), (1, 1), (13, 13), (10, 10), (3, 3), (12, 12), (2, 2), (6, 6), (11, 11)} | Text: the same weekend they arrested the guy , we had . . .
2025-04-29 09:56:07.801 | ERROR    | extractor.eval_extractor:eval:55 - [ERROR] False positive samples: {(20, 20), (29, 29), (33, 33), (37, 37), (2, 2), (34, 34), (30, 30), (16, 16), (25, 25), (35, 35), (12, 12), (21, 21), (22, 22), (31, 31), (8, 8), (17, 17), (27, 27), (36, 36), (13, 13), (32, 32), (18, 18), (4, 4), (5, 5), (14, 14), (23, 23), (9, 9), (1, 1), (24, 24), (10, 10), (19, 19), (28, 28), (6, 6), (15, 15)} | Text: during the uprising , he was arrested by israel and deported to jordan , where he stayed for seven years until he was permitted to return under the terms of the oslo accords in 1994 .
